Дата;Тип ошибки;Описание ошибки;Статус;Приоритет
15.04.2025;Функциональный дефект;Пользователи не могут дозвониться до администраторов для заказа воды;В работе;Критический
15.04.2025;Функциональный дефект;Форма оплаты счета не принимает платежи;В работе;Высокий
16.04.2025;Функциональный дефект;"Кнопка ""Отправить запрос"" не работает";Исправлено;Средний
17.04.2025;Визуальный дефект;Навигация сайта перекрывается на мобильных устройствах;Ожидает проверки;Низкий
17.04.2025;Ошибка производительности;Страница загружается более 10 секунд;В работе;Высокий
19.04.2025;Ошибка безопасности;Возможность SQL-инъекции в поле поиска;Исправлено;Низкий
20.04.2025;Функциональный дефект;Невозможно скачать отчет о продаже;В работе;Высокий
21.04.2025;Визуальный дефект;Логотип компании отображается размытым;Ожидает проверки;Критический
22.04.2025;Ошибка локализации;Даты отображаются в неверном формате для пользователей из Европы;В работе;Средний
22.04.2025;Функциональный дефект;Система рассылок не отправляет сообщения;Исправлено;Высокий
25.04.2025;Ошибка безопасности;Личные данные пользователей хранятся в открытом виде в базе данных;В работе;Критический
26.04.2025;Функциональный дефект;Не отображаются последние транзакции в истории счетов;В работе;Средний
26.04.2025;Визуальный дефект;Цвета кнопок не соответствуют фирменному стилю;Ожидает проверки;Низкий
27.04.2025;Ошибка производительности;Сервер падает при одновременном входе более 100 пользователей;В работе;Высокий
27.04.2025;Функциональный дефект;Форма обратной связи не принимает новых пользователей;Исправлено;Средний
27.04.2025;Ошибка безопасности;Возможность XSS-атаки через поле комментариев;В работе;Критический
02.05.2025;Функциональный дефект;Не обновляется информация о текущем балансе;В работе;Высокий
04.05.2025;Визуальный дефект;Текст на странице выходит за границы контейнера;Ожидает проверки;Низкий
04.05.2025;Ошибка локализации;Переводы на испанский язык содержат ошибки;В работе;Средний
07.05.2025;Функциональный дефект;"Кнопка ""Обновить профиль"" не сохраняет изменения";Исправлено;Средний
07.05.2025;Функциональный дефект;Не работает функция сравнения тарифов;Исправлено;Средний
08.05.2025;Функциональный дефект;Не удается назначить дату рассылок;Исправлено;Средний
11.05.2025;Ошибка безопасности;Уязвимость в системе аутентификации для подрядчиков;В работе;Критический
11.05.2025;Ошибка производительности;Загрузка исторических данных занимает слишком много времени;В работе;Высокий
11.05.2025;Ошибка безопасности;Возможность манипуляции данными пользователей;Исправлено;Критический
12.05.2025;Функциональный дефект;Не отправляются уведомления от клиентов по заказу воды;В работе;Средний
14.05.2025;Визуальный дефект;Иконки на странице услуг отображаются некорректно;Ожидает проверки;Низкий
14.05.2025;Ошибка локализации;Единицы измерения воды не соответствуют местным стандартам;В работе;Средний
16.05.2025;Функциональный дефект;Не удается подключить 1С к сайту;Исправлено;Высокий
17.05.2025;Ошибка безопасности;Уязвимость API для чтения данных;В работе;Критический
18.05.2025;Функциональный дефект;Система не регистрирует отмену заказа;В работе;Высокий
21.05.2025;Визуальный дефект;Карта с зонами покрытия доставки не загружается;Ожидает проверки;Низкий
21.05.2025;Ошибка производительности;Медленная обработка запросов на изменение цен;В работе;Средний
21.05.2025;Функциональный дефект;Не удается назначить ответственного за доставку;Исправлено;Средний
21.05.2025;Ошибка безопасности;Возможность просмотра чужих данных в заказе;В работе;Критический
23.05.2025;Функциональный дефект;Сбой в системе заказа воды;В работе;Высокий
24.05.2025;Визуальный дефект;Некорректное отображение графиков тарифов;Ожидает проверки;Низкий
24.04.2025;Ошибка локализации;Неправильный перевод терминов в документации;В работе;Средний
;;;;
